time,sample,AF3,T7,Pz,T8,AF4,marker_hardware
1774430695.6939,127,4242.051,4361.026,4176.41,4160.0,4226.154,242.0
1774430695.7016,0,4250.256,4334.359,4186.667,4154.872,4197.436,450.0
1774430695.7094,1,4282.564,4336.923,4191.282,4169.744,4209.231,450.0
1774430695.7171,2,4283.077,4376.923,4172.821,4163.077,4245.128,16203.0
1774430695.725,3,4251.795,4367.179,4173.846,4145.641,4235.897,450.0
1774430695.7327,4,4232.821,4340.0,4195.385,4151.282,4210.256,16185.0
1774430695.7405,5,4252.308,4360.0,4180.0,4171.795,4214.359,450.0
1774430695.7482,6,4272.821,4370.256,4153.333,4171.282,4228.205,16152.0
1774430695.756,7,4254.359,4346.154,4163.077,4147.179,4217.949,450.0
1774430695.7638,8,4238.974,4338.462,4170.769,4142.051,4198.974,450.0
1774430695.7715,9,4254.359,4349.744,4157.436,4157.436,4203.59,16190.0
1774430695.7793,10,4247.692,4355.385,4171.282,4153.333,4222.564,450.0
1774430695.7871,11,4226.154,4364.103,4199.487,4151.282,4221.538,16196.0
1774430695.7949,12,4246.154,4355.897,4191.795,4166.154,4207.692,450.0
1774430695.8026,13,4263.077,4346.154,4203.59,4154.359,4205.641,450.0
1774430695.8104,14,4250.256,4351.795,4298.462,4125.128,4197.949,450.0
1774430695.8181,15,4266.667,4349.231,4388.205,4117.436,4187.692,16196.0
1774430695.8258,16,4304.615,4348.205,4401.026,4125.641,4195.385,0.0
1774430695.8336,17,4298.974,4341.026,4397.949,4129.231,4190.769,0.0
1774430695.8414,18,4261.026,4348.205,4401.538,4122.051,4173.333,0.0
1774430695.8492,19,4233.846,4381.538,4393.846,4110.769,4188.205,0.0
1774430695.8569,20,4232.821,4377.949,4395.897,4103.59,4198.462,0.0
1774430695.8647,21,4253.846,4324.615,4402.051,4102.051,4172.308,0.0
1774430695.8724,22,4278.974,4317.949,4406.154,4112.308,4181.026,0.0
1774430695.8802,23,4285.128,4370.769,4405.641,4129.744,4215.385,0.0
1774430695.888,24,4271.795,4402.051,4411.795,4135.897,4208.205,0.0
1774430695.8958,25,4265.128,4412.821,4446.154,4136.41,4194.872,0.0
1774430695.9035,26,4260.0,4396.923,4480.513,4128.718,4191.282,0.0
