time,sample,AF3,T7,Pz,T8,AF4,marker_hardware,label,trial,state
1774524995.8081,28,4235.897,4281.026,4172.308,4168.718,4224.103,0.0,0,1,rest
1774524995.8158,29,4226.667,4295.385,4180.513,4172.821,4221.026,0.0,0,1,rest
1774524995.8236,30,4221.538,4301.026,4185.128,4182.051,4221.026,0.0,0,1,rest
1774524995.8313,31,4233.333,4274.872,4184.615,4196.923,4225.128,0.0,0,1,rest
1774524995.8391,32,4233.333,4260.513,4183.077,4188.205,4224.615,0.0,0,1,rest
1774524995.8468,33,4223.59,4271.795,4178.974,4158.974,4215.897,0.0,0,1,rest
1774524995.8546,34,4226.154,4267.692,4170.256,4153.333,4213.846,0.0,0,1,rest
1774524995.8624,35,4223.077,4274.872,4169.231,4167.179,4221.026,0.0,0,1,rest
1774524995.8702,36,4214.359,4297.436,4173.333,4168.205,4215.385,0.0,0,1,rest
1774524995.8779,37,4224.615,4278.974,4176.923,4170.769,4214.872,0.0,0,1,rest
1774524995.8856,38,4235.385,4254.872,4179.487,4181.538,4231.282,0.0,0,1,rest
1774524995.8934,39,4235.897,4275.897,4175.385,4173.333,4236.41,0.0,0,1,rest
1774524995.9012,40,4237.949,4295.385,4168.718,4159.487,4234.359,0.0,0,1,rest
1774524995.9089,41,4235.897,4281.538,4171.282,4164.615,4245.128,0.0,0,1,rest
1774524995.9167,42,4228.718,4266.154,4175.897,4172.821,4245.128,0.0,0,1,rest
1774524995.9245,43,4223.59,4263.59,4164.615,4165.641,4219.487,0.0,0,1,rest
1774524995.9322,44,4214.872,4267.179,4144.615,4160.513,4201.538,0.0,0,1,rest
1774524995.94,45,4210.769,4291.282,4146.154,4177.436,4211.282,0.0,0,1,rest
1774524995.9477,46,4224.615,4313.846,4171.282,4190.256,4230.256,0.0,0,1,rest
1774524995.9555,47,4224.615,4284.615,4177.949,4167.692,4226.154,0.0,0,1,rest
1774524995.9632,48,4205.128,4260.0,4158.462,4146.154,4202.051,0.0,0,1,rest
1774524995.9711,49,4202.564,4278.974,4150.256,4158.462,4208.205,0.0,0,1,rest
1774524995.9788,50,4220.0,4278.462,4160.0,4175.385,4242.564,0.0,0,1,rest
1774524995.9866,51,4229.744,4258.462,4164.615,4174.872,4241.538,0.0,0,1,rest
1774524995.9943,52,4224.615,4276.41,4160.513,4175.385,4219.487,0.0,0,1,rest
1774524996.0021,53,4226.154,4311.282,4157.949,4180.513,4235.897,0.0,0,1,rest
1774524996.0098,54,4237.949,4306.667,4157.436,4170.256,4257.436,0.0,0,1,rest
