time,sample,AF3,T7,Pz,T8,AF4,marker_hardware
1772893792.0222,23,4260.513,4403.077,4186.667,4148.718,4188.718,0.0
1772893792.0299,24,4263.59,4414.872,4192.821,4148.718,4201.026,0.0
1772893792.0377,25,4256.41,4420.0,4164.103,4154.359,4213.333,0.0
1772893792.0454,26,4249.231,4424.615,4171.795,4148.718,4192.821,0.0
1772893792.0533,27,4261.026,4421.026,4178.462,4152.821,4187.692,0.0
1772893792.061,28,4267.692,4389.231,4178.974,4161.026,4208.718,0.0
1772893792.0688,29,4261.026,4394.872,4165.641,4157.436,4214.872,0.0
1772893792.0765,30,4252.308,4435.385,4150.256,4147.692,4203.077,0.0
1772893792.0843,31,4249.231,4445.128,4148.205,4142.564,4183.59,0.0
1772893792.092,32,4251.282,4412.308,4162.051,4146.154,4174.872,0.0
1772893792.0998,33,4251.282,4392.821,4169.744,4149.744,4194.872,0.0
1772893792.1076,34,4240.513,4413.846,4149.231,4135.897,4204.103,0.0
1772893792.1154,35,4232.821,4430.769,4138.462,4123.077,4188.718,0.0
1772893792.1231,36,4244.615,4425.641,4140.513,4137.949,4196.923,0.0
1772893792.1309,37,4253.846,4399.487,4131.282,4151.795,4206.667,0.0
1772893792.1386,38,4246.667,4402.051,4123.59,4148.718,4190.769,0.0
1772893792.1464,39,4238.974,4432.308,4104.615,4149.744,4196.923,0.0
1772893792.1542,40,4241.026,4409.231,4110.769,4144.615,4213.846,0.0
1772893792.1619,41,4247.692,4379.487,4122.051,4138.462,4209.744,0.0
1772893792.1697,42,4244.615,4415.385,4088.205,4152.308,4206.667,0.0
1772893792.1774,43,4236.41,4429.744,4091.795,4151.282,4206.154,0.0
1772893792.1852,44,4251.795,4376.41,4126.667,4138.974,4204.103,0.0
1772893792.1929,45,4264.103,4376.41,4132.821,4147.692,4205.128,0.0
1772893792.2007,46,4241.538,4435.385,4120.0,4152.821,4205.641,0.0
1772893792.2085,47,4230.256,4433.333,4094.872,4137.949,4209.744,0.0
1772893792.2163,48,4250.769,4392.821,4109.231,4131.795,4209.231,0.0
1772893792.224,49,4266.667,4385.641,4126.667,4142.564,4195.897,0.0
1772893792.2318,50,4246.667,4408.205,4112.308,4140.0,4182.051,0.0
1772893792.2395,51,4221.026,4429.231,4117.436,4127.179,4180.513,0.0
1772893792.2473,52,4221.538,4419.487,4134.359,4131.282,4184.103,0.0
1772893792.255,53,4226.154,4390.256,4130.256,4142.051,4180.513,0.0
1772893792.2629,54,4237.949,4391.282,4125.128,4156.41,4195.385,0.0
1772893792.2706,55,4254.872,4409.744,4128.718,4164.103,4212.308,0.0
1772893792.2784,56,4251.282,4393.846,4132.821,4156.923,4204.103,0.0
1772893792.2861,57,4243.59,4378.462,4137.436,4161.026,4200.513,0.0
1772893792.2939,58,4240.0,4406.667,4133.333,4165.128,4195.897,0.0
1772893792.3016,59,4224.103,4428.718,4132.308,4148.718,4188.205,0.0
1772893792.3094,60,4222.051,4414.872,4141.026,4145.128,4202.564,0.0
1772893792.3172,61,4240.0,4418.974,4141.026,4161.538,4214.359,0.0
1772893792.3249,62,4244.103,4436.41,4141.026,4166.667,4200.513,0.0
1772893792.3327,63,4235.897,4404.103,4138.974,4155.897,4194.359,0.0
1772893792.3404,64,4232.821,4365.641,4140.0,4149.231,4196.41,450.0
1772893792.3482,65,4228.205,4376.41,4154.359,4152.308,4189.231,450.0
1772893792.3559,66,4226.154,4412.821,4159.487,4160.0,4193.846,16201.0
1772893792.3637,67,4227.179,4434.359,4154.359,4170.769,4203.077,450.0
1772893792.3715,68,4218.974,4416.923,4150.769,4169.231,4194.359,16193.0
1772893792.3793,69,4221.538,4386.667,4156.41,4158.462,4184.103,450.0
1772893792.387,70,4242.564,4401.538,4167.179,4158.974,4188.718,0.0
1772893792.3948,71,4235.385,4428.205,4165.641,4159.487,4192.308,450.0
